id;code;Désignation;G01_A_m2;G02_ qint_°C;G03_qe,0_°C;G04_ FT_W;G05_ FV_W;G06_ Fg_W;G07_ FHL_W;G08_fapostehl_W/m2;G09_nmin_h-1;etage_id
1;A-301;Zone accueil;48.6;21;-6.4;656;113;0;769;16;0.1;3
2;A-302;Bureau de soins;40.1;21;-6.4;713;92;0;804;20;0.1;3
3;A-303;Séjour 1;48.7;21;-6.4;963;113;0;1077;22;0.1;3
4;A-304;Chambre 1;20;21;-6.4;317;47;0;364;18;0.1;3
5;A-304wc;WC1;5.1;21;-6.4;19;0;0;19;4;0;3
6;A-305;Chambre 2;20;21;-6.4;317;47;0;364;18;0.1;3
7;A-305wc;WC2;5.2;21;-6.4;19;0;0;19;4;0;3
8;A-306;Chambre 3;20;21;-6.4;317;47;0;364;18;0.1;3
9;A-306wc;WC3;5.1;21;-6.4;19;0;0;19;4;0;3
10;A-307;Chambre 4;20;21;-6.4;317;47;0;364;18;0.1;3
11;A-307wc;WC4;5.2;21;-6.4;19;0;0;19;4;0;3
12;A-308;Chambre 5;20;21;-6.4;317;47;0;364;18;0.1;3
13;A-308wc;WC5;5.1;21;-6.4;19;0;0;19;4;0;3
14;A-309;Chambre 6;20;21;-6.4;317;47;0;364;18;0.1;3
15;A-309wc;WC6;5.2;21;-6.4;19;0;0;19;4;0;3
16;A-310;Chambre 7;20;21;-6.4;317;47;0;364;18;0.1;3
17;A-310wc;WC7;5.2;21;-6.4;19;0;0;19;4;0;3
18;A-311;Chambre 8;20;21;-6.4;317;47;0;364;18;0.1;3
19;A-311wc;WC8;5.2;21;-6.4;19;0;0;19;4;0;3
20;A-312;Chambre 9;20;21;-6.4;317;47;0;364;18;0.1;3
21;A-312wc;WC9;5.2;21;-6.4;19;0;0;19;4;0;3
22;A-313;Chambre 10;20;21;-6.4;317;47;0;364;18;0.1;3
23;A-313wc;WC10;5.2;21;-6.4;19;0;0;19;4;0;3
24;A-314;Chambre 11;20;21;-6.4;317;47;0;364;18;0.1;3
25;A-314wc;WC11;5.2;21;-6.4;19;0;0;19;4;0;3
26;A-315;Chambre 12;20;21;-6.4;317;47;0;364;18;0.1;3
27;A-315wc;WC12;5.2;21;-6.4;19;0;0;19;4;0;3
28;A-316;Chambre 13;20;21;-6.4;317;47;0;364;18;0.1;3
29;A-316wc;WC13;5.2;21;-6.4;19;0;0;19;4;0;3
30;A-317;Chambre 14;20;21;-6.4;317;47;0;364;18;0.1;3
31;A-317wc;WC14;5.2;21;-6.4;19;0;0;19;4;0;3
32;A-318;Chambre 15;20;21;-6.4;317;47;0;364;18;0.1;3
33;A-318wc;WC15;5.2;21;-6.4;19;0;0;19;4;0;3
34;A-319;Chambre 16;20;21;-6.4;317;47;0;364;18;0.1;3
35;A-319wc;WC16;5.2;21;-6.4;19;0;0;19;4;0;3
36;A-320;Chambre 17;20;21;-6.4;317;47;0;364;18;0.1;3
37;A-320wc;WC17;5.2;21;-6.4;19;0;0;19;4;0;3
38;A-321;Chambre 18;22.7;21;-6.4;458;53;0;510;23;0.1;3
39;A-321wc;WC18;5.2;21;-6.4;19;0;0;19;4;0;3
40;A-322;Séjour 2 ;67.4;21;-6.4;962;157;0;1119;17;0.1;3
41;A-323;Chambre 19;22.7;21;-6.4;458;53;0;510;23;0.1;3
42;A-323wc;WC19;5.2;21;-6.4;19;0;0;19;4;0;3
43;A-324;Chambre 20;20;21;-6.4;317;47;0;364;18;0.1;3
44;A-324wc;WC20;5.2;21;-6.4;19;0;0;19;4;0;3
45;A-325;Chambre 21;20;21;-6.4;317;47;0;364;18;0.1;3
46;A-325wc;WC21;5.2;21;-6.4;19;0;0;19;4;0;3
47;A-326;Chambre 22;20;21;-6.4;317;47;0;364;18;0.1;3
48;A-326wc;WC22;5.2;21;-6.4;19;0;0;19;4;0;3
49;A-327;Chambre 23;20;21;-6.4;317;47;0;364;18;0.1;3
50;A-327wc;WC23;5.2;21;-6.4;19;0;0;19;4;0;3
51;A-328;Chambre 24;20;21;-6.4;317;47;0;364;18;0.1;3
52;A-328wc;WC24;5.2;21;-6.4;19;0;0;19;4;0;3
53;A-329;Chambre 25;20;21;-6.4;317;47;0;364;18;0.1;3
54;A-329wc;WC25;5.2;21;-6.4;19;0;0;19;4;0;3
55;A-330b;Salle à manger;51.7;21;-6.4;777;120;0;897;17;0.1;3
56;A-330a;Salle à manger;49.9;21;-6.4;751;116;0;868;17;0.1;3
57;A-331;Chambre 8;20;21;-6.4;317;47;0;364;18;0.1;3
58;A-331wc;WC8;5.2;21;-6.4;19;0;0;19;4;0;3
59;A-332;Chambre 7;20;21;-6.4;317;47;0;364;18;0.1;3
60;A-332wc;WC7;5.2;21;-6.4;19;0;0;19;4;0;3
61;A-333;Chambre 6;20;21;-6.4;317;47;0;364;18;0.1;3
62;A-333wc;WC6;5.2;21;-6.4;19;0;0;19;4;0;3
63;A-334;Chambre 5;20;21;-6.4;317;47;0;364;18;0.1;3
64;A-334wc;WC5;5.2;21;-6.4;19;0;0;19;4;0;3
65;A-335;Chambre 4;20;21;-6.4;317;47;0;364;18;0.1;3
66;A-335wc;WC4;5.2;21;-6.4;19;0;0;19;4;0;3
67;A-336;Chambre 3;20;21;-6.4;317;47;0;364;18;0.1;3
68;A-336wc;WC3;5.2;21;-6.4;19;0;0;19;4;0;3
69;A-337;Dépôt unité d'acc.;17;18;-6.4;0;0;0;0;0;0;3
70;A-338;Dépôt unité d'acc.;21.4;18;-6.4;0;0;0;0;0;0;3
71;A-339;Local électrique;5.2;18;-6.4;0;0;0;0;0;0;3
72;A-340;Vidoir linge sale;19.2;21;-6.4;84;0;0;84;4;0;3
73;A-341;Salle de bains thérapeuthique;25.7;21;-6.4;97;0;0;97;4;0;3
74;A-342;Dépôt matériel;11.4;18;-6.4;0;0;0;0;0;0;3
75;A-343;Local nettoyage;10.9;21;-6.4;66;0;0;66;6;0;3
76;A-344;Linge propre 1;16.6;21;-6.4;63;0;0;63;4;0;3
77;A-345;Linge sale 2 ;19.2;21;-6.4;84;0;0;84;4;0;3
78;A-346;A-357;4;21;-6.4;15;0;0;15;4;0;3
79;A-347;WC hand.;5.1;21;-6.4;19;0;0;19;4;0;3
80;A-348;Wc hand.;5.2;21;-6.4;20;0;0;20;4;0;3
81;A-249;Rangement déambulateur;5.2;21;-6.4;0;0;0;0;0;0;2
82;A-350;Tisanerie;19.2;21;-6.4;84;0;0;84;4;0;3
83;A-351;Dépôt matériel aux. 2;22.1;18;-6.4;0;0;0;0;0;0;3
84;A-352;Bureau de soins 2;21.7;21;-6.4;88;0;0;88;4;0;3
85;A-353;Rangement déambulateur;6;21;-6.4;0;0;0;0;0;0;2
86;A-354;Local éléctrique 2;4.8;21;-6.4;0;0;0;0;0;0;3
87;A-355;WC;4;21;-6.4;15;0;0;15;4;0;3
88;A-356;WC hand;5.1;21;-6.4;19;0;0;19;4;0;3
89;A-357;Wc hand.;5.2;21;-6.4;20;0;0;20;4;0;3
90;A-358;Dépôt matériel aux.;7.1;18;-6.4;0;0;0;0;0;0;3
91;A-359;Local nettoyage 2;6.8;18;-6.4;0;0;0;0;0;0;3
92;A-360;Linge propre;16.6;18;-6.4;0;0;0;0;0;0;3
93;A-361;Linge sale 3;19.2;21;-6.4;73;0;0;73;4;0;3
94;A-362;Couloir;22;21;-6.4;121;0;0;121;6;0;3
95;A-363;Couloir;20.6;21;-6.4;96;0;0;96;5;0;3
96;A-364;Couloir;22.7;21;-6.4;94;0;0;94;4;0.3;3
97;A-365;Couloir;43.9;21;-6.4;196;0;0;196;4;0;3
98;A-366;Couloir;46;21;-6.4;226;0;0;226;5;0;3
99;A-367;Couloir;42.6;21;-6.4;189;0;0;189;4;0;3
100;A-368;Couloir;42.6;21;-6.4;192;0;0;192;4;0;3
101;A-369;Couloir;26;21;-6.4;121;0;0;121;5;0;3
102;A-370;Couloir;35.2;21;-6.4;152;0;0;152;4;0;3
103;A-371;Couloir;22.7;21;-6.4;94;0;0;94;4;0;3
104;A-372;Couloir;23.2;21;-6.4;147;0;0;147;6;0;3
105;Couloir;Couloir;11.8;21;-6.4;0;0;0;0;0;0;2
106;A-201;Zone accueil;48.6;21;-6.4;423;113;0;536;11;0.1;2
107;A-202;Bureau de soins;40.1;21;-6.4;526;92;0;617;15;0.1;2
108;A-203;Séjour 1;48.7;21;-6.4;712;113;0;825;17;0.1;2
109;A-204;Chambre 1;20;21;-6.4;223;47;0;270;13;0.1;2
110;A-204wc;WC1;5.1;21;-6.4;0;0;0;0;0;0;2
111;A-205;Chambre 2;20;21;-6.4;223;47;0;270;13;0.1;2
112;A-205wc;WC2;5.2;21;-6.4;0;0;0;0;0;0;2
113;A-206;Chambre 3;20;21;-6.4;223;47;0;270;13;0.1;2
114;A-206wc;WC3;5.1;21;-6.4;0;0;0;0;0;0;2
115;A-207;Chambre 4;20;21;-6.4;223;47;0;270;13;0.1;2
116;A-207wc;WC4;5.2;21;-6.4;0;0;0;0;0;0;2
117;A-208;Chambre 5;20;21;-6.4;223;47;0;270;13;0.1;2
118;A-208wc;WC5;5.1;21;-6.4;0;0;0;0;0;0;2
119;A-209;Chambre 6;20;21;-6.4;223;47;0;270;13;0.1;2
120;A-209wc;WC6;5.2;21;-6.4;0;0;0;0;0;0;2
121;A-210;Chambre 7;20;21;-6.4;223;47;0;270;13;0.1;2
122;A-210wc;WC7;5.2;21;-6.4;0;0;0;0;0;0;2
123;A-211;Chambre 8;20;21;-6.4;223;47;0;270;13;0.1;2
124;A-211wc;WC8;5.2;21;-6.4;0;0;0;0;0;0;2
125;A-212;Chambre 9;20;21;-6.4;223;47;0;270;13;0.1;2
126;A-212wc;WC9;5.2;21;-6.4;0;0;0;0;0;0;2
127;A-213;Chambre 10;20;21;-6.4;223;47;0;270;13;0.1;2
128;A-213wc;WC10;5.2;21;-6.4;0;0;0;0;0;0;2
129;A-214;Chambre 11;20;21;-6.4;223;47;0;270;13;0.1;2
130;A-214wc;WC11;5.2;21;-6.4;0;0;0;0;0;0;2
131;A-215;Chambre 12;20;21;-6.4;223;47;0;270;13;0.1;2
132;A-215wc;WC12;5.2;21;-6.4;0;0;0;0;0;0;2
133;A-216;Chambre 13;20;21;-6.4;223;47;0;270;13;0.1;2
134;A-216wc;WC13;5.2;21;-6.4;0;0;0;0;0;0;2
135;A-217;Chambre 14;20;21;-6.4;223;47;0;270;13;0.1;2
136;A-217wc;WC14;5.2;21;-6.4;0;0;0;0;0;0;2
137;A-218;Chambre 15;20;21;-6.4;223;47;0;270;13;0.1;2
138;A-218wc;WC15;5.2;21;-6.4;0;0;0;0;0;0;2
139;A-219;Chambre 16;20;21;-6.4;223;47;0;270;13;0.1;2
140;A-219wc;WC16;5.2;21;-6.4;0;0;0;0;0;0;2
141;A-220;Chambre 17;20;21;-6.4;223;47;0;270;13;0.1;2
142;A-220wc;WC17;5.2;21;-6.4;0;0;0;0;0;0;2
143;A-221;Chambre 18;22.7;21;-6.4;324;53;0;377;17;0.1;2
144;A-221wc;WC18;5.2;21;-6.4;0;0;0;0;0;0;2
145;A-222;Séjour 2 ;67.4;21;-6.4;652;157;0;809;12;0.1;2
146;A-223;Chambre 19;22.7;21;-6.4;324;53;0;377;17;0.1;2
147;A-223wc;WC19;5.2;21;-6.4;0;0;0;0;0;0;2
148;A-224;Chambre 20;20;21;-6.4;223;47;0;270;13;0.1;2
149;A-224wc;WC20;5.2;21;-6.4;0;0;0;0;0;0;2
150;A-225;Chambre 21;20;21;-6.4;223;47;0;270;13;0.1;2
151;A-225wc;WC21;5.2;21;-6.4;0;0;0;0;0;0;2
152;A-226;Chambre 22;20;21;-6.4;223;47;0;270;13;0.1;2
153;A-226wc;WC22;5.2;21;-6.4;0;0;0;0;0;0;2
154;A-227;Chambre 23;20;21;-6.4;223;47;0;270;13;0.1;2
155;A-227wc;WC23;5.2;21;-6.4;0;0;0;0;0;0;2
156;A-228;Chambre 24;20;21;-6.4;223;47;0;270;13;0.1;2
157;A-228wc;WC24;5.2;21;-6.4;0;0;0;0;0;0;2
158;A-229;Chambre 25;20;21;-6.4;223;47;0;270;13;0.1;2
159;A-229wc;WC25;5.2;21;-6.4;0;0;0;0;0;0;2
160;A-230b;Salle à manger;51.7;21;-6.4;554;120;0;674;13;0.1;2
161;A-230a;Salle à manger;49.9;21;-6.4;536;116;0;652;13;0.1;2
162;A-231;Chambre 8;20;21;-6.4;223;47;0;270;13;0.1;2
163;A-231wc;WC8;5.2;21;-6.4;0;0;0;0;0;0;2
164;A-232;Chambre 7;20;21;-6.4;223;47;0;270;13;0.1;2
165;A-232wc;WC7;5.2;21;-6.4;0;0;0;0;0;0;2
166;A-233;Chambre 6;20;21;-6.4;223;47;0;270;13;0.1;2
167;A-233wc;WC6;5.2;21;-6.4;0;0;0;0;0;0;2
168;A-234;Chambre 5;20;21;-6.4;223;47;0;270;13;0.1;2
169;A-234wc;WC5;5.2;21;-6.4;0;0;0;0;0;0;2
170;A-235;Chambre 4;20;21;-6.4;223;47;0;270;13;0.1;2
171;A-235wc;WC4;5.2;21;-6.4;0;0;0;0;0;0;2
172;A-236;Chambre 3;20;21;-6.4;233;47;0;279;14;0.1;2
173;A-236wc;WC3;5.2;21;-6.4;0;0;0;0;0;0;2
174;A-237;Dépôt unité d'acc.;17;18;-6.4;0;0;0;0;0;0;2
175;A-238;Dépôt unité d'acc.;21.4;21;-6.4;0;0;0;0;0;0;2
176;A-239;Local électrique;5.2;18;-6.4;0;0;0;0;0;0;2
177;A-240;Vidoir linge sale;19.2;21;-6.4;12;0;0;12;1;0;2
178;A-241;Salle de bains thérapeuthique;25.7;21;-6.4;0;0;0;0;0;0;2
179;A-242;Dépôt matériel;11.4;21;-6.4;0;0;0;0;0;0;2
180;A-243;Local nettoyage;10.9;18;-6.4;0;0;0;0;0;0;2
181;A-244;Linge propre 1;16.6;18;-6.4;0;0;0;0;0;0;2
182;A-245;Linge sale 2 ;19.2;21;-6.4;0;0;0;0;0;0;2
183;A-246;A-357;4;21;-6.4;0;0;0;0;0;0;2
184;A-247;WC hand.;5.1;21;-6.4;0;0;0;0;0;0;2
185;A-248;Wc hand.;5.2;21;-6.4;0;0;0;0;0;0;2
186;A-249;Rangement déambulateur;5.2;21;-6.4;0;0;0;0;0;0;2
187;A-250;Tisanerie;19.2;21;-6.4;11;0;0;11;1;0;2
188;A-251;Dépôt matériel aux. 2;22.1;18;-6.4;0;0;0;0;0;0;2
189;A-252;Bureau de soins 2;21.7;21;-6.4;6;0;0;6;0;0;2
190;A-253;Rangement déambulateur;6;21;-6.4;0;0;0;0;0;0;2
191;A-254;Local électrique  2;4.8;21;-6.4;0;0;0;0;0;0;2
192;A-255;WC;4;21;-6.4;0;0;0;0;0;0;2
193;A-256;WC hand;5.1;21;-6.4;0;0;0;0;0;0;2
194;A-257;Wc hand.;5.2;21;-6.4;4;0;0;4;1;0;2
195;A-258;Dépôt matériel aux.;7.1;18;-6.4;0;0;0;0;0;0;2
196;A-259;Local nettoyage 2;6.8;18;-6.4;0;0;0;0;0;0;2
197;A-260;Linge propre;16.6;18;-6.4;0;0;0;0;0;0;2
198;A-261;Linge sale 3;19.2;21;-6.4;12;0;0;12;1;0;2
199;A-262;Couloir;22;21;-6.4;38;0;0;38;2;0;2
200;A-263;Couloir;20.6;21;-6.4;18;0;0;18;1;0;2
201;A-264;Couloir;22.7;21;-6.4;8;0;0;8;0;0.3;2
202;A-265;Couloir;43.9;21;-6.4;30;0;0;30;1;0;2
203;A-266;Couloir;46;21;-6.4;49;0;0;49;1;0;2
204;A-267;Couloir;42.6;21;-6.4;25;0;0;25;1;0;2
205;A-268;Couloir;42.6;21;-6.4;22;0;0;22;1;0;2
206;A-269;Couloir;26;21;-6.4;23;0;0;23;1;0;2
207;A-270;Couloir;35.2;21;-6.4;19;0;0;19;1;0;2
